solver,seed,case_id,gate,variant,case_score,expected_inspect,actual_inspect,inspect_error,expected_uncertain,actual_uncertain,expected_audit_links,actual_audit_links,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,error
llama_cpp,0,seed0_budgeted_inspect_noise_first,budgeted_inspect,noise_first,0.0,q2,n4,wrong_variable,True,True,q2 -> n4,mi -> q2 -> n4,1.0,0.0,1.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_mediator_first,budgeted_inspect,mediator_first,0.0,q2,n4,wrong_variable,True,True,q2 -> n4,q2 -> n4,1.0,0.0,1.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_many_distractors,budgeted_inspect,many_distractors,0.0,q2,n4,wrong_variable,True,True,q2 -> n4,p6=mi -> q2=ta -> n4=sa,1.0,0.0,1.0,0.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_already_verifiable,budgeted_inspect,already_verifiable,0.0,none,none,correct,False,True,,q2 -> n4,0.0,1.0,0.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_support_conditioned_noise_first,budgeted_inspect,support_conditioned_noise_first,0.0,q2,n4,wrong_variable,True,False,q2 -> n4,q2 -> n4,1.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_noise_first,budgeted_inspect,noise_first,0.0,u8,u8,correct,True,True,u8 -> q2,q2 -> u8,1.0,1.0,1.0,0.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_mediator_first,budgeted_inspect,mediator_first,0.0,u8,u8,correct,True,True,u8 -> q2,q2 -> u8,1.0,1.0,1.0,0.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_many_distractors,budgeted_inspect,many_distractors,0.0,u8,n4,wrong_variable,True,True,u8 -> q2,r5 -> u8;u8 -> q2,1.0,0.0,1.0,1.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_already_verifiable,budgeted_inspect,already_verifiable,0.0,none,none,correct,False,True,,q2 -> u8,0.0,1.0,0.0,1.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_support_conditioned_noise_first,budgeted_inspect,support_conditioned_noise_first,0.0,u8,u8,correct,True,False,u8 -> q2,r5 -> u8 -> q2,1.0,1.0,0.0,1.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_noise_first,budgeted_inspect,noise_first,0.0,r5,r5,correct,True,True,r5 -> p6,q2 -> r5,1.0,1.0,1.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_mediator_first,budgeted_inspect,mediator_first,0.0,r5,u8,wrong_variable,True,True,r5 -> p6,q2 -> u8,1.0,0.0,1.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_many_distractors,budgeted_inspect,many_distractors,0.0,r5,u8,wrong_variable,True,True,r5 -> p6,q2 -> u8,1.0,0.0,1.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_already_verifiable,budgeted_inspect,already_verifiable,0.0,none,u8,over_inspect,False,True,,q2 -> u8,0.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_support_conditioned_noise_first,budgeted_inspect,support_conditioned_noise_first,0.0,r5,r5,correct,True,False,r5 -> p6,q2 -> r5,1.0,1.0,0.0,0.0,1.0,
